[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 11, 13, 14, 15]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 11, 14, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 11, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 9, 11, 12, 14, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 9, 12, 11, 14, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 9, 12, 14, 11, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 9, 14, 11, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14, 9, 11, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 11, 12, 13, 14, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 11, 12, 14, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 12, 11, 13, 14, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 12, 11, 14, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 12, 14, 11, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 10, 9, 11, 12, 14, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 10, 9, 12, 11, 14, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 10, 9, 12, 14, 11, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 10, 12, 9, 14, 11, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 10, 12, 14, 9, 11, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 10, 7, 9, 11, 12, 14, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 10, 7, 9, 12, 11, 14, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 10, 7, 9, 12, 14, 11, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 10, 7, 12, 9, 14, 11, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 10, 7, 12, 14, 9, 11, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 10, 12, 7, 9, 14, 11, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 10, 12, 7, 14, 9, 11, 13, 15]
[0, 1, 2, 3, 4, 5, 6, 8, 10, 12, 14, 7, 9, 11, 13, 15]
[0, 1, 2, 3, 4, 6, 5, 7, 8, 9, 10, 11, 12, 14, 13, 15]
[0, 1, 2, 3, 4, 6, 5, 7, 8, 9, 10, 12, 11, 14, 13, 15]
[0, 1, 2, 3, 4, 6, 5, 7, 8, 9, 10, 12, 14, 11, 13, 15]
[0, 1, 2, 3, 4, 6, 5, 7, 8, 10, 9, 11, 12, 14, 13, 15]
[0, 1, 2, 3, 4, 6, 5, 7, 8, 10, 9, 12, 11, 14, 13, 15]
